x;;;;;;;;;;;;;;;
COURSE_AI270U;COURSE_AI271U;COURSE_AI272U;COURSE_AI273U;COURSE_AI274U;;;;;;;;;;;
150-hp;;;;;;;;;;;;;;;
Mcs-exam;;;;;;;;;;;;;;;
Basic;;;;;;;;;;;;;;;
150-hp;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
150-hp;;;;;;;;;;;;;;;
Exam;;;;;;;;;;;;;;;
Exam;;;;;;;;;;;;;;;
Exam;;;;;;;;;;;;;;;
Exam;;;;;;;;;;;;;;;
Prof;;;;;;;;;;;;;;;
Prof;;;;;;;;;;;;;;;
Prof;;;;;;;;;;;;;;;
Basic;;;;;;;;;;;;;;;
Basic;;;;;;;;;;;;;;;
Basic;;;;;;;;;;;;;;;
Prof;;;;;;;;;;;;;;;
Mcs-exam;;;;;;;;;;;;;;;
Mcs-exam;;;;;;;;;;;;;;;
Basic;;;;;;;;;;;;;;;
Basic;;;;;;;;;;;;;;;
COURSE_AF105V;;;;;;;;;;;;;;;
Mcs-exam;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
Mcs-exam;;;;;;;;;;;;;;;
Mcs-exam;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
Mcs-exam;;;;;;;;;;;;;;;
Basic;;;;;;;;;;;;;;;
Basic;;;;;;;;;;;;;;;
COURSE_AF1004;COURSE_AF1005;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
Dr;;;;;;;;;;;;;;;
Exam;;;;;;;;;;;;;;;
Exam;;;;;;;;;;;;;;;
Exam;;;;;;;;;;;;;;;
30-hp;;;;;;;;;;;;;;;
Mcs-exam;;;;;;;;;;;;;;;
Mcs-exam;;;;;;;;;;;;;;;
Basic;;;;;;;;;;;;;;;
Basic;;;;;;;;;;;;;;;
Dr;;;;;;;;;;;;;;;
Mcs-exam;;;;;;;;;;;;;;;
Mcs-exam;;;;;;;;;;;;;;;
Mcs-exam;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
Mcs-exam;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
